num,label,label_clair,categorie
0,text_id,text_id,tech
1,author_canonical_name,Nom canonique,author
2,author_fre_name,Nom français,author
3,author_eng_name,Nom anglais,author
4,author_dates,Dates,author
5,author_period,Période,author
6,author_ISNI,ISNI,author
7,author_URI_Perseus_catalog,URI Catalogue Perseus (auteur),author
8,author_CTS_code,URI CTS,author
9,author_URI_PHI,author_URI_PHI,author
10,author_biography,Biographie,author
11,work_canonical_title,Titre canonique,work
12,work_orig_title,Titre original,work
13,work_fre_title,Titre français,work
14,work_eng_title,Titre anglais,work
15,work_date,Date (œuvre),work
16,work_language,Langue,work
17,work_URI_data_bnf,URI Data.bnf,work
18,work_URI_perseus_Catalog,URI Catalogue Perseus (œuvre),work
19,work_URI_PHI,work_URI_PHI, work
20,work_URI_RSPA,URI RSPA,work
21,work_reference_editions,Editions de référence,work
22,work_available_editions,Editions disponibles,work
23,work_genre,Genre,work
24,work_description,Description,work
25,text_format,Format de fichier,text
26,text_filename,Nom de fichier,text
27,text_source,text_source,text
28,text_source_URI,text_source_URI,text
29,text_edition,text_edition,text
30,text_other_sources,text_other,text
31,text_commentary,Commentaires sur le texte,text
32,relevant_passages_ref,Références passages,passage
33,relevant_passages_length,Longueur passage,passage
34,relevant_passages_commentary,Commentaires sur les passages,passage
35,zoom_step,zoom_step,zoom
36,zoom_ref_added_by,zoom_ref_added_by,zoom
37,zoom_ref_confirmed_by,zoom_ref_confirmed_by,zoom
38,zoom_text_added_by,zoom_text_added_by,zoom
39,zoom_text_confirmed_by,zoom_text_confirmed_by,zoom
40,zoom_commented_by,zoom_commented_by,zoom
41,zoom_checked_by,zoom_checked_by,zoom
42,zoom_update_date,zoom_update_date,zoom
43,zoom_file_name,zoom_file_name,zoom
